Year,Publications,Citations
1994,2863,org.apache.spark.api.java.JavaPairRDD@776015fc
1997,4186,org.apache.spark.api.java.JavaPairRDD@776015fc
1999,4915,org.apache.spark.api.java.JavaPairRDD@776015fc
2001,5058,org.apache.spark.api.java.JavaPairRDD@776015fc
1996,3861,org.apache.spark.api.java.JavaPairRDD@776015fc
1992,850,org.apache.spark.api.java.JavaPairRDD@776015fc
1995,3380,org.apache.spark.api.java.JavaPairRDD@776015fc
1998,4600,org.apache.spark.api.java.JavaPairRDD@776015fc
2002,856,org.apache.spark.api.java.JavaPairRDD@776015fc
1993,1976,org.apache.spark.api.java.JavaPairRDD@776015fc
2000,5076,org.apache.spark.api.java.JavaPairRDD@776015fc
